id,idade,estado,cidade,bairro,sexo,estilo_musical,bebida_alcoolica,tem_filhos,ja_foi_casado,atividade_fisica,idade_minima_parceiro,idade_maxima_parceiro,parceiro_pode_ter_filhos,parceiro_pode_beber,parceiro_pode_ser_casado,frase_identificacao,data_cadastro
283,41,GO,Goiânia,Parque Amazônia ,Feminino,Sertanejo,Bebo Socialmente,Sim,Sim,3x por semana,40,45,Não,Não,Não,Vida simples com família,2025-04-01 12:08:02
284,31,GO,Goiânia,Leste universitário ,Feminino,MPB,Bebo Socialmente,Não,Não,3x por semana,27,35,Sim,Não,Não,Equilíbrio material/espiritual,2025-04-01 12:09:15
286,33,GO,Goiânia,Granville,Feminino,Pagode,Nos Finais de Semana,Não,Não,Diariamente,29,40,Tanto Faz,Tanto Faz,Tanto Faz,Experiências e viagens,2025-04-01 12:17:56
287,42,GO,Goiânia,Setor Sul,Feminino,Pop,Bebo Socialmente,Sim,Sim,3x por semana,42,48,Tanto Faz,Tanto Faz,Tanto Faz,Equilíbrio material/espiritual,2025-04-01 12:28:31
290,47,GO,Goiânia,Universitário ,Feminino,MPB,Não Bebo,Não,Não,Diariamente,44,53,Não,Sim,Não,Riqueza espiritual,2025-04-01 12:46:27
292,29,GO,Goiânia,Leste universitário ,Feminino,Pop,Bebo Socialmente,Não,Não,Não gosto,27,35,Tanto Faz,Não,Não,Experiências e viagens,2025-04-01 12:47:33
293,26,GO,Goiânia,Parque Amazônia ,Feminino,MPB,Bebo Socialmente,Não,Não,Diariamente,30,45,Tanto Faz,Não,Não,Equilíbrio material/espiritual,2025-04-01 12:49:18
294,33,GO,Goiânia,Leste universitário ,Masculino,Sertanejo,Nos Finais de Semana,Não,Não,Diariamente,25,34,Não,Não,Não,Vida simples com família,2025-04-01 12:49:26
295,35,GO,Goiânia,Bairro goiá,Feminino,Sertanejo,Bebo Socialmente,Sim,Sim,Diariamente,35,45,Não,Não,Não,Riqueza espiritual,2025-04-01 12:50:27
297,43,GO,Goiânia,Leste Vila Nova ,Feminino,Rock,Bebo Socialmente,Não,Não,1x por semana,30,55,Não,Não,Não,Vida simples com família,2025-04-01 13:02:51
299,31,GO,Goiânia,Esmeraldas ,Feminino,Sertanejo,Bebo Socialmente,Não,Não,Diariamente,30,41,Não,Não,Não,Equilíbrio material/espiritual,2025-04-01 13:08:09
300,22,GO,Goiânia,Goiania 2,Feminino,Sertanejo,Bebo Socialmente,Sim,Sim,Diariamente,22,35,Não,Não,Não,Vida simples com família,2025-04-01 13:18:27
302,52,GO,Goiânia,Faz. São Domingos.,Feminino,MPB,Bebo Socialmente,Sim,Sim,Diariamente,52,57,Não,Tanto Faz,Não,Equilíbrio material/espiritual,2025-04-01 13:24:57
304,35,GO,Goiânia,Jd América ,Feminino,Pagode,Não Bebo,Sim,Não,Diariamente,30,50,Tanto Faz,Tanto Faz,Tanto Faz,Vida simples com família,2025-04-01 13:30:04
306,34,GO,Goiânia,Vila Jaraguá ,Feminino,Rock,Não Bebo,Sim,Sim,Diariamente,25,60,Tanto Faz,Tanto Faz,Tanto Faz,Equilíbrio material/espiritual,2025-04-01 13:40:18
307,45,GO,Goiânia,Centro,Feminino,Sertanejo,Bebo Socialmente,Sim,Sim,1x por semana,30,45,Não,Não,Não,Experiências e viagens,2025-04-01 13:52:07
308,47,GO,Goiânia,Eldorado ,Feminino,Sertanejo,Nos Finais de Semana,Sim,Sim,1x por semana,37,55,Não,Tanto Faz,Tanto Faz,Experiências e viagens,2025-04-01 13:52:49
309,26,GO,Goiânia,Jardim helvécia ,Feminino,Sertanejo,Bebo Socialmente,Sim,Não,Diariamente,26,34,Não,Não,Não,Vida simples com família,2025-04-01 13:55:26
310,24,GO,Goiânia,Goiania 2,Feminino,Rock,Não Bebo,Não,Não,3x por semana,18,28,Sim,Sim,Sim,Experiências e viagens,2025-04-01 13:56:03
312,26,GO,Goiânia,Vera Cruz 2 ,Feminino,MPB,Bebo Sempre,Não,Não,Diariamente,18,50,Tanto Faz,Tanto Faz,Tanto Faz,Experiências e viagens,2025-04-01 14:05:54
313,52,GO,Goiânia,Alto da Glória ,Feminino,MPB,Bebo Socialmente,Sim,Não,1x por semana,44,52,Não,Não,Não,Vida simples com família,2025-04-01 14:06:03
315,42,GO,Inhumas,Centro ,Feminino,Rock,Bebo Socialmente,Sim,Sim,Diariamente,39,45,Não,Sim,Não,Equilíbrio material/espiritual,2025-04-01 14:10:29
316,36,GO,Valparaíso de Goiás,Cidade Jardins ,Feminino,Rock,Não Bebo,Sim,Sim,Diariamente,30,45,Não,Sim,Não,Vida simples com família,2025-04-01 14:11:25
317,31,GO,Goiânia,Parque Amazônia ,Feminino,MPB,Bebo Socialmente,Sim,Sim,Diariamente,30,42,Não,Não,Não,Vida simples com família,2025-04-01 14:11:51
319,25,GO,Aparecida de Goiânia,Nova olinda,Feminino,MPB,Bebo Socialmente,Sim,Não,Não gosto,25,60,Não,Não,Não,Riqueza espiritual,2025-04-01 14:29:21
320,30,GO,Goiânia,Região Noroeste,Feminino,MPB,Bebo Socialmente,Não,Sim,1x por semana,18,40,Tanto Faz,Tanto Faz,Tanto Faz,Equilíbrio material/espiritual,2025-04-01 14:29:26
322,34,GO,Goiânia,Bairro Goiá,Feminino,Rock,Não Bebo,Sim,Sim,3x por semana,35,45,Não,Sim,Não,Equilíbrio material/espiritual,2025-04-01 14:37:22
323,39,GO,Rio Verde,Girassóis ,Feminino,MPB,Bebo Socialmente,Sim,Sim,1x por semana,32,55,Tanto Faz,Tanto Faz,Tanto Faz,Riqueza espiritual,2025-04-01 14:40:26
324,45,GO,Goiânia,Marista,Feminino,MPB,Não Bebo,Sim,Sim,Diariamente,35,60,Não,Sim,Não,Riqueza espiritual,2025-04-01 14:48:41
326,45,GO,Goiânia,Itatiaia ,Feminino,MPB,Bebo Socialmente,Não,Sim,3x por semana,45,55,Tanto Faz,Tanto Faz,Tanto Faz,Experiências e viagens,2025-04-01 15:00:39
327,35,GO,Senador Canedo,Residencial paraíso ,Feminino,Pop,Não Bebo,Sim,Sim,1x por semana,23,36,Não,Tanto Faz,Não,Vida simples com família,2025-04-01 15:04:38
